Date,Publication,Country,Country2,Country3,Topic,Headline,Link
2026-05-24,Independent,DRC,,,Epidemic,Suspected Ebola cases surpass 900 as treatment centre attacks hinder Congo response,https://www.independent.co.uk/news/health/ebola-outbreak-treatment-center-fires-congo-attacks-b2982791.html
2026-07-02,Independent,DRC,,,Other,An AP journalist describes a month in the epicenter of Congo's Ebola outbreak,https://www.independent.co.uk/news/ebola-congo-people-world-health-organization-experts-b3007259.html
2026-05-26,Independent,USA,,,Other,Trump administration restricts leading US scientists' involvement in global Ebola response - report,https://www.independent.co.uk/news/world/americas/us-politics/trump-ebola-policy-cdc-niaid-b2983603.html
2026-05-20,Independent,Germany,USA,,Repatriation/Importation,US doctor who contracted Ebola 'could barely stand' by time he was flown to Germany for treatment,https://www.independent.co.uk/news/world/americas/ebola-germany-congo-peter-stafford-b2980196.html
2026-06-06,Independent,Uganda,,,Travel restrictions,Uganda closes Congo border over Ebola outbreak fears,https://www.independent.co.uk/news/world/africa/uganda-ebola-congo-world-health-organization-b2990950.html
2026-07-06,Independent,DRC,,,Economic impact/daily life,Congo Ebola outbreak death toll surpasses 500 as frontline workers threaten strike,https://www.independent.co.uk/news/world/africa/ebola-deaths-congo-healthcare-workers-strike-b3009761.html
2026-07-02,Independent,None,,,Therapeutics/diagnostics,Researchers launch study on Ebola treatments as Congo outbreak worsens,https://www.independent.co.uk/news/congo-ebola-world-health-organization-gilead-sciences-tedros-adhanom-ghebreyesus-b3007768.html
2026-06-07,Independent,DRC,,,Economic impact/daily life,Health workers at the epicenter of Congo's Ebola outbreak labor with little pay or rest,https://www.independent.co.uk/news/congo-ebola-people-tedros-adhanom-ghebreyesus-world-health-organization-b2991212.html
2026-06-30,Independent,UK,,,Repatriation/Importation,Patient tests negative for Ebola at Glasgow hospital,https://www.independent.co.uk/news/uk/home-news/glasgow-scotland-ebola-virus-world-health-organisation-drc-b3006273.html
2026-05-27,Independent,DRC,,,Economic impact/daily life,"In Congo displacement camp, fighting Ebola with sand, oatmeal and one thermometer but no water",https://www.independent.co.uk/news/ebola-congo-allied-democratic-forces-doctors-without-borders-international-rescue-committee-b2984068.html
2026-05-27,Independent,Canada,,,Travel restrictions,Canada imposes tough Ebola restrictions for travelers from impacted countries,https://www.independent.co.uk/news/health/canada-congo-sudan-ebola-restrictions-b2984140.html
2026-05-23,Independent,Uganda,,,Epidemic,Three new Ebola cases confirmed in Uganda including a health worker,https://www.independent.co.uk/news/health/uganda-ebola-cases-health-worker-b2982412.html
2026-07-08,Independent,DRC,,,Economic impact/daily life,Some health workers in Congo's Ebola outbreak go on strike over pay issues as deaths near 600,https://www.independent.co.uk/news/congo-world-health-organization-africa-gates-foundation-b3010957.html
2026-05-27,Independent,USA,,,Repatriation/Importation,Trump administration to send Americans exposed to Ebola to a new facility in Kenya,https://www.independent.co.uk/news/ebola-americans-trump-kenya-health-and-human-services-b2984568.html
2026-06-04,Independent,Kenya,USA,,Protests,Kenya's president defends US Ebola facility after protest deaths,https://www.independent.co.uk/news/world/americas/us-politics/kenya-us-ebola-facility-protest-deaths-president-b2989880.html
2026-07-20,Independent,USA,,,Repatriation/Importation,"Ebola quarantine center for Americans is up and working in Kenya despite a court ban, activists say",https://www.independent.co.uk/news/kenya-ebola-congo-americans-american-b3018460.html
2026-07-13,Independent,DRC,,,Economic impact/daily life,Dozens at an Ebola treatment center in northeast Congo go on strike over unpaid salaries and bonuses,https://www.independent.co.uk/news/congo-tedros-adhanom-ghebreyesus-world-health-organization-american-germany-b3013913.html
2026-06-06,Independent,USA,,,Repatriation/Importation,US doctor who contracted Ebola discharged from German hospital along with five family members,https://www.independent.co.uk/life-style/health-and-families/health-news/dr-peter-stafford-ebola-germany-care-discharged-b2991141.html
2026-06-04,Independent,UK,,,Therapeutics/diagnostics,We talked to two scientists racing to find a new Ebola vaccine. Here's what to know,https://www.independent.co.uk/life-style/health-and-families/health-news/ebola-vaccine-development-scientist-b2989853.html
2026-07-09,Independent,Equatorial Guinea,,,Repatriation/Importation,"Suspected Ebola patient placed in Equatorial Guinea hotel with deportees from the US, lawyers say",https://www.independent.co.uk/news/equatorial-guinea-senegal-ebola-virus-african-ethiopia-b3012101.html
2026-07-07,Independent,USA,,,Funding/aid,"75% of Americans want Trump to reverse US aid cuts over Ebola outbreak, poll finds",https://www.independent.co.uk/news/world/americas/us-politics/trump-aid-ebola-congo-uganda-health-b3010390.html
2026-06-09,Independent,Kenya,USA,,Protests,Protester shot in the head as anger explodes over US plan to build Ebola facility for Americans in Kenya,https://www.independent.co.uk/news/world/africa/ebola-quarantine-americans-riot-kenya-b2992216.html
2026-06-10,Independent,DRC,,,Protests,Motorcycle taxi drivers in Congo rally for Ebola awareness as attacks hinder response,https://www.independent.co.uk/news/congo-africa-taxi-drivers-world-health-organization-marco-rubio-b2993460.html
2026-06-02,Independent,Kenya,USA,,Protests,Deadly violence erupts in Kenya as Trump admin orders Ebola quarantine for Americans,https://www.independent.co.uk/news/world/africa/kenya-protests-american-quarantine-ebola-b2987703.html
2026-06-15,Independent,DRC,,,Economic impact/daily life,Photos show how the Ebola outbreak is changing nightlife in Congo,https://www.independent.co.uk/news/ebola-b2995898.html
2026-06-01,Independent,Kenya,USA,,Protests,Hundreds of youths protest outside Kenya's Ebola quarantine center for US citizens,https://www.independent.co.uk/news/ebola-kenya-nairobi-americans-marco-rubio-b2987113.html
2026-05-21,Independent,USA,,,Travel restrictions,Flight forced to divert after US denies entry to Congolese passenger over Ebola fears,https://www.independent.co.uk/travel/news-and-advice/air-france-ebola-congo-divert-montreal-b2981257.html
2026-06-23,Independent,Kenya,USA,,Travel restrictions,Kenya's health minister orders suspension of construction on a US-backed Ebola facility,https://www.independent.co.uk/news/kenya-ebola-nairobi-americans-construction-b3001345.html
2026-06-30,Independent,DRC,,,Economic impact/daily life,Congo bans gatherings in areas far from Ebola outbreak. Some say it limits dissent,https://www.independent.co.uk/news/ebola-congo-kinshasa-felix-tshisekedi-rwanda-b3005886.html
2026-06-03,Independent,DRC,,,Epidemic,"We're still behind' in Congo's Ebola outbreak even as testing improves, WHO says",https://www.independent.co.uk/news/ebola-congo-tedros-adhanom-ghebreyesus-world-health-organization-uganda-b2988934.html
2026-07-13,Independent,DRC,,,Epidemic,Why the fastest-growing Ebola outbreak in history is becoming more challenging,https://www.independent.co.uk/news/ebola-congo-outbreaks-associated-press-experts-b3014106.html
2026-05-21,Independent,DRC,,,Funding/aid,Appeals in Congo for more supplies as aid groups warn Ebola outbreak is 'gaining momentum',https://www.independent.co.uk/news/congo-people-world-health-organization-tedros-adhanom-ghebreyesus-ebola-virus-b2981080.html
2026-06-22,Independent,Kenya,USA,,Travel restrictions,Kenya's health minister found in contempt of court over US-backed Ebola facility,https://www.independent.co.uk/news/kenya-ebola-nairobi-americans-high-court-b3000603.html
2026-06-01,Independent,DRC,,,Epidemic,Confirmed Ebola cases in Congo reach 282 as survivors describe their recoveries,https://www.independent.co.uk/news/congo-ebola-african-tedros-adhanom-ghebreyesus-uganda-b2987068.html
2026-07-02,Independent,DRC,,,Economic impact/daily life,Ebola outbreak in DR Congo could push a million more people into poverty,https://www.independent.co.uk/news/world/africa/ebola-congo-cases-hospital-un-b3006584.html
2026-06-09,Independent,Kenya,,,Protests,"Kenya protesters clash with police over proposed Ebola center for US citizens, in photos",https://www.independent.co.uk/news/kenya-police-b2992661.html
2026-06-17,Independent,DRC,,,Epidemic,Africa's Ebola outbreaks complicated by victims who prefer traditional healers over hospitals,https://www.independent.co.uk/news/ebola-congo-uganda-africa-mercy-corps-b2997158.html
2026-06-08,Independent,USA,,,Other,"RFK Jr is 'checked out' and scrolls his phone despite global health emergencies, workers say",https://www.independent.co.uk/news/world/americas/us-politics/rfk-health-checked-out-ebola-outbreak-b2991468.html
2026-06-10,Independent,USA,,,World cup,Health sleuths are watching for disease threats during the World Cup,https://www.independent.co.uk/news/ebola-north-america-patients-philadelphia-west-africa-b2993469.html
2026-05-25,Independent,USA,,,World cup,"2026 FIFA World Cup faces health risks from heat, infectious diseases and food safety, experts say",https://www.independent.co.uk/sport/football/world-cup/world-up-disease-heat-health-concerns-b2982010.html
2026-06-08,Independent,USA,,,World cup,US wastewater will be screened for disease outbreaks during World Cup,https://www.independent.co.uk/news/health/world-cup-us-wastewater-disease-outbreaks-b2991790.html
